study_id,dataset,meas_year,nee,gpp,reco,flux_method,lat,long,permafrost,biome
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,1996,41,-799,841,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,1997,-189,-1389,1201,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,1998,-79,-1499,1421,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,1999,-99,-1299,1201,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,2000,-119,-1399,1281,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,2001,41,-1349,1391,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,2006,-114,-1269,1156,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,2013,-379,-1649,1271,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,2003,-249,NA,NA,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,2002,-114,-1249,1136,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,2005,-219,-1269,1051,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,2012,-299,-1599,1301,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,2007,-329,-1149,821,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,2008,-279,-1119,841,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,2009,-229,-1399,1171,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,2010,-249,-1499,1251,Ec,44.31666667,-79.93333333,No,Boreal
Froelich_BordenForest_tower_1_Virkkala,SantaBarbs,2011,-159,-1549,1391,Ec,44.31666667,-79.93333333,No,Boreal
Roulet_MerBleue_tower_1_Virkkala,SantaBarbs,2003,-111,NA,NA,Ec,45.41,-75.5187,No,Boreal
Roulet_MerBleue_tower_1_Virkkala,SantaBarbs,1999,-34,NA,NA,Ec,45.41,-75.5187,No,Boreal
Roulet_MerBleue_tower_1_Virkkala,SantaBarbs,2001,-19,NA,NA,Ec,45.41,-75.5187,No,Boreal
