study_id,neeT_slp,gppT_slp,recoT_slp,neeT_SE,gppT_SE,recoT_SE,nee_mean,biome,tavg_mean,permafrost,pptmean,aetmean,CN_5,Nlim5,srce
Alaska_Alberta_Petrone2014_115,1.315005584,0.791189129,0.349354543,1.141837366,1.292882717,1.356290136,163.7765766,Boreal,14.45284946,No,219.2741935,222.5774194,14.29447853,C limited,source
Aurela_FI-Kaa_tower1,-0.838467226,-0.557302978,-0.383802103,0.231008096,0.337543486,0.37048844,-69.15089832,Boreal,11.63344086,No,193.5,192.2709677,19.95039683,N limited,sink
Aurela_FI-Sod_tower1,0.530148055,-0.428798501,0.546129317,0.267619374,0.285199947,0.264386274,-54.09333333,Boreal,12.79924731,No,197.0580645,214.1064516,20.64748201,N limited,sink
Bret-Harte_US-ICs_tower1,-0.287978703,-0.901768942,0.739585055,0.859064167,0.703258662,0.763745029,-73.26654083,Tundra,9.336021505,Yes,125.8612903,168.9032258,27.25652286,N limited,sink
Celis_EML_Ch01,-0.076409406,-0.074671124,0.106324685,0.498342908,0.498408777,0.496969836,-76.35243562,Tundra,12.63596774,Yes,230.0354839,215.7516129,23.50458716,N limited,sink
Dolman_RU-Cok_tower1,0.41108108,0.082506658,0.413875759,0.573048921,0.600683882,0.572646459,-94.12835408,Tundra,8.415860215,Yes,65.29677419,158.4451613,16.19414484,N limited,sink
Elberling_GL-Dsk_tower1,-0.192564292,NA,NA,0.49615434,NA,NA,-93.59296,Tundra,5.242634409,Yes,136.7032258,153.7451613,14.02640264,C limited,sink
Euskirchen_BnzRichFen_tower_1_Euskirchen_608,-0.477990252,-0.339163231,-0.140094855,0.444324186,0.485013722,0.516759151,-62.53441512,Boreal,15.21516129,Yes,155.5419355,159.4645161,14.52394691,C limited,sink
Euskirchen_ImnavaitTussock_tower_1_Euskirchen,0.065866273,0.389555227,-0.453645389,0.477221731,0.465207723,0.440641145,-45.87777353,Tundra,9.336021505,Yes,125.8612903,168.9032258,27.25652286,N limited,sink
Euskirchen_ImnavaitWetSedge_tower_1_Euskirchen,0.518726192,0.397194536,0.036337711,0.428506123,0.449632878,0.477748438,-45.68062427,Tundra,9.336021505,Yes,125.8612903,168.9032258,27.25652286,N limited,sink
Euskirchen_US-TFBog_tower2_609,0.399763401,0.381764985,-0.211791708,0.469373998,0.474342395,0.508557076,-52.37362296,Boreal,15.21516129,Yes,155.5419355,159.4645161,14.52394691,C limited,sink
Fennoscandia_Abisko_Christensen2012_99,0.158984239,NA,NA,0.413196631,NA,NA,-102.0214373,Tundra,11.10139785,Yes,151.9516129,162.7935484,21.84322034,N limited,sink
GG_SOBS_Ch01,NA,NA,NA,NA,NA,NA,NA,Boreal,15.39193548,No,243.6677419,256.4903226,31.35416667,N limited,NA
Goulden_CA-Oas_tower1,-0.16267686,-0.281126823,0.290942273,0.282259798,0.275003383,0.274216937,-336.8507327,Boreal,15.82182796,No,229.5935484,249.7741935,23.58108108,N limited,sink
Greenland_Kangerlussuaq_Cahoon2016_136,-0.085267435,NA,NA,0.298582499,NA,NA,-80.58297259,Tundra,8.322150538,Yes,95.36129032,166.9387097,14.93606138,C limited,sink
Harazano_US-Cms_tower1,0.235228808,0.193572035,0.252540566,0.329352364,0.340027673,0.330215335,-93.08869674,Tundra,4.314623656,Yes,62.36774194,95.89032258,35.44417766,N limited,sink
Helbig_CA-SCB_tower1,0.100619784,-0.322120747,0.314006766,0.332209963,0.295101514,0.29800237,-59.4403873,Boreal,15.41252688,No,208.9258065,222.4516129,29.82378855,N limited,sink
Helbig_CA-SCC_tower1,-0.000967333,-0.138925071,0.172729631,0.317593055,0.31145706,0.308055889,-59.25614416,Boreal,15.41252688,Yes,208.9258065,222.4516129,29.82378855,N limited,sink
Iwata_US-Rpf_tower1,-0.30738582,-0.302234626,0.248424839,0.328894505,0.32942452,0.33438426,-107.076019,Boreal,14.27629032,No,160.0870968,173.9870968,39.34782609,N limited,sink
Iwata_US-Uaf_tower1,-0.030897385,-0.136588274,0.100957166,0.238610664,0.235946267,0.237223972,-76.40241235,Boreal,15.18935484,Yes,144.2935484,153.4580645,39.34782609,N limited,sink
Karelin_Talnik_chamber_1_Virkkala,NA,NA,0.179897889,NA,NA,0.285997453,NA,Tundra,10.84903226,Yes,190.2032258,219.1258065,19.66447848,N limited,NA
Kolari_FI-Var_tower1,-0.081335733,-0.711526273,0.675923332,0.341236347,0.182116872,0.203468514,-84.5525618,Boreal,11.77317204,No,225.4903226,209.1903226,26.38273046,N limited,sink
Kutzbach_Samoylov_Tower_3_openpath,-0.405268555,-1.274114201,1.253752302,0.705862895,0.365323593,0.382530219,-47.89650611,Tundra,7.967688172,Yes,119.2645161,191.4774194,11.20923913,C limited,sink
Lafleur_CA-DL1_tower1,-0.426372644,-0.624668394,0.714947254,0.274606083,0.233595384,0.206089559,-30.36583333,Tundra,10.39354839,Yes,119.6129032,209.5903226,25.25987526,N limited,sink
Lafleur_CA-DL3_tower3,0.314763646,-0.244409625,0.576394302,0.852897297,0.858643593,0.818012982,-69.50666667,Tundra,10.39354839,Yes,119.6129032,209.5903226,25.25987526,N limited,sink
Lafleur_Humphreys_CA_DL4_Humphreys_624,0.340664145,-0.325929525,0.803748857,0.854934741,0.856369612,0.773578289,-87.1697312,Tundra,11.03854839,Yes,119.5548387,210.1064516,25.25987526,N limited,sink
Lindroth_SE-Nor_tower1,0.727306028,-0.392278562,0.668646308,0.843404224,0.914527864,0.859433579,-31.788,Boreal,16.00817204,No,209.8548387,237.8677419,21.7989418,N limited,sink
López-Blanco_GL-NuF_tower1,0.421627076,0.604124792,-0.610468905,0.355383165,0.29809012,0.29549385,-43.21,Tundra,6.218333333,No,247.9580645,179.0354839,12.98709474,C limited,sink
López-Blanco_GL-ZaF_tower1,-0.760516435,-0.887345969,0.762691455,0.331593565,0.274082753,0.33075992,-69.8375,Tundra,3.388064516,Yes,59.82903226,122.9032258,20.93298969,N limited,sink
Lund_DK-ZaH_tower1,0.217307964,-0.315322037,0.319357601,0.355928626,0.347684634,0.353036492,-17.79956697,Tundra,3.388064516,Yes,59.82903226,122.9032258,20.93298969,N limited,sink
Lund_Kobbefjord_Ch01,0.109022843,0.107419588,-0.076158856,0.405617658,0.405724583,0.407488818,-474.0733678,Tundra,6.218333333,Yes,247.9580645,179.0354839,12.98709474,C limited,sink
Machimura_RU-Nel_tower1,0.096064093,0.154029951,-0.125327986,0.466015751,0.462110865,0.464274684,-47.4271542,Boreal,15.63198925,Yes,123.1290323,127.1903226,13.86421644,C limited,sink
Margolis_CA-Obs_tower1,0.466635577,0.228317018,-0.082289167,0.262159851,0.292044171,0.299709047,-63.11985156,Boreal,15.39193548,No,243.6677419,256.4903226,31.35416667,N limited,sink
Margolis_CA-Qfo_tower1,0.491876452,-0.080409922,0.361704942,0.316316804,0.383603517,0.349683738,-64.18864671,Boreal,15.14150538,No,327.4516129,274.3580645,6.141001855,C limited,sink
Maximov_RU-SkP_tower1,0.201518625,1.235171682,-1.191021947,0.523667262,0.264834736,0.292300694,-174.0208389,Boreal,15.91360215,Yes,129.1290323,133.4806452,13.86421644,C limited,sink
McCaughey_CA-Gro_tower1,0.11954406,0.208519384,-0.161491573,0.305977765,0.299956162,0.303560208,-193.134121,Boreal,15.66462366,No,242.7290323,260.3290323,6.283687943,C limited,sink
McCaughey_CA-Man_tower1,-0.041497697,-0.819339146,0.611646293,0.486760992,0.412282434,0.446875095,-47.5388297,Boreal,14.67704301,No,239.2483871,251.5806452,38.45730028,N limited,sink
Mkhabela_CA-SF3_tower3,0.152652085,-0.280572891,0.336684089,0.393796263,0.369597981,0.353634922,-31.39416486,Boreal,15.72731183,No,241.0419355,253.4903226,33.96694215,N limited,sink
Nakai_US-Prr_tower1,0.506953955,-0.471235987,0.527628572,0.335740735,0.348506213,0.327680396,-77.25145985,Boreal,14.06849462,Yes,163.3322581,176.116129,39.34782609,N limited,sink
Nilsson_SE-Deg_tower1,0.373544011,-0.511011238,0.694319422,0.346476154,0.320428891,0.266666122,-82.62222222,Boreal,13.88166667,No,223.6516129,221.3483871,21.89010989,N limited,sink
Parmentier_NO-And_tower1,0.0154366,-0.652901672,0.48457623,0.388553771,0.210863597,0.303858642,-99.82067852,Tundra,11.76774194,No,222.3,191.3387097,23.2304038,N limited,sink
Schuur_US-EML_tower1,0.108390635,-0.341594903,0.607525994,0.301407062,0.277818606,0.241437115,-123.4617907,Tundra,12.58731183,Yes,231.2903226,215.9419355,23.50458716,N limited,sink
Shaver_US-ICh_tower1,-0.741057916,-0.285944081,0.142715781,0.763268984,0.859290685,0.871117609,-65.82361299,Tundra,9.336021505,Yes,125.8612903,168.9032258,27.25652286,N limited,sink
Strachan_CA-LLC_tower1,0.396167171,0.461690213,-0.253064668,0.911910277,0.901578549,0.928735298,-41.33128233,Boreal,15.10935484,No,285.5451613,254.2258065,3.145275035,C limited,sink
TornDengel_US-NGB_tower1,-0.555462589,NA,NA,0.495205032,NA,NA,-94.91803568,Tundra,4.899301075,Yes,62.33225806,103.0677419,35.44417766,N limited,sink
